模型,指标,值
clip,MAP@1,0.0
clip,MAP@10,0.0
clip,MAP@20,0.0
clip,MAP@5,0.0
clip,MAP@50,0.0
clip,MRR,0.0
clip,召回率@1,0.0020408163265306124
clip,召回率@10,0.03605442176870748
clip,召回率@20,0.05714285714285715
clip,召回率@5,0.024149659863945582
clip,召回率@50,0.13979591836734692
clip,成功率,0.0
clip,精确率@1,0.01020408163265306
clip,精确率@10,0.01020408163265306
clip,精确率@20,0.009183673469387758
clip,精确率@5,0.016326530612244896
clip,精确率@50,0.008775510204081636
dnmsr,MAP@1,0.0
dnmsr,MAP@10,0.0
dnmsr,MAP@20,0.0
dnmsr,MAP@5,0.0
dnmsr,MAP@50,0.0
dnmsr,MRR,0.0
dnmsr,召回率@1,0.09555888555888556
dnmsr,召回率@10,0.3288755688755691
dnmsr,召回率@20,0.36506249306249317
dnmsr,召回率@5,0.2931266511266512
dnmsr,召回率@50,0.4239953379953381
dnmsr,成功率,0.0
dnmsr,精确率@1,0.51
dnmsr,精确率@10,0.22
dnmsr,精确率@20,0.12300000000000004
dnmsr,精确率@5,0.37400000000000005
dnmsr,精确率@50,0.05699999999999997
